,2x10 Yield Diff,Growth,Commodities
2023-04-07,-0.589,2790.38,106.2398
2023-04-14,-0.581,2825.75,107.8204
2023-04-21,-0.6180000000000003,2823.07,105.5753
2023-04-28,-0.6120000000000001,2835.93,104.3114
2023-05-05,-0.476,2821.99,102.9563
2023-05-12,-0.5409999999999995,2809.35,101.1839
2023-05-19,-0.5969999999999995,2842.76,101.0741
2023-05-26,-0.7690000000000006,2827.93,100.0794
2023-06-02,-0.81,2873.37,99.8213
2023-06-09,-0.859,2885.63,100.9596
2023-06-16,-0.9539999999999996,2962.34,105.1417
2023-06-23,-1.011,2902.34,102.3456
2023-06-30,-1.0579999999999998,2966.72,101.4785
2023-07-07,-0.883,2924.19,101.9122
2023-07-14,-0.9310000000000004,3017.94,104.5971
2023-07-21,-1.009,3028.71,106.1991
2023-07-28,-0.9280000000000004,3057.84,107.2298
2023-08-04,-0.7290000000000001,2986.54,105.932
2023-08-11,-0.7269999999999994,2972.73,105.5861
2023-08-18,-0.6849999999999996,2897.5,104.2442
2023-08-25,-0.8170000000000002,2911.99,105.4753
2023-09-01,-0.6950000000000003,2989.51,106.7234
2023-09-08,-0.7279999999999998,2948.81,106.0826
2023-09-15,-0.7110000000000003,2960.98,107.4702
2023-09-22,-0.6829999999999998,2879.85,106.2245
2023-09-29,-0.4750000000000005,2853.24,104.8391
2023-10-06,-0.2969999999999997,2845.23,102.5742
2023-10-13,-0.4250000000000007,2862.14,105.287
2023-10-20,-0.1599999999999992,2791.24,105.8155
2023-10-27,-0.1669999999999998,2731.99,105.63
2023-11-03,-0.274,2883.8,105.2272
2023-11-10,-0.4340000000000001,2900.76,101.6086
2023-11-17,-0.4660000000000002,2985.19,101.9202
2023-11-24,-0.4749999999999996,3015.19,101.4189
2023-12-01,-0.3429999999999999,3040.7,101.4705
2023-12-08,-0.4820000000000002,3047.21,97.8635
2023-12-15,-0.5270000000000001,3126.14,98.8993
2023-12-22,-0.4319999999999999,3152.26,99.3544
2023-12-29,-0.3900000000000001,3169.18,98.646
