0,1,2,3,4,5,6,7,8,9
USDGBP,USDJPY,AUDJPY,NZDJPY,EURGBP,EURJPY,CADJPY,CHFJPY,,
USDCHF,AUDNZD,GBPAUD,AUDCHF,GBPNZD,NZDCHF,EURCHF,GBPCAD,GBPCHF,CADCHF
USDAUD,USDNZD,USDEUR,USDCAD,EURAUD,AUDCAD,EURNZD,NZDCAD,EURCAD,GBPJPY
