0,1,2,3,4,5,6,7,8,9
USDAUD,USDNZD,USDEUR,USDCAD,AUDNZD,GBPAUD,AUDCHF,EURNZD,NZDCHF,GBPCAD
NZDCAD,EURGBP,EURJPY,CADJPY,,,,,,
USDGBP,USDJPY,EURAUD,AUDCAD,EURCAD,GBPJPY,,,,
USDCHF,GBPNZD,EURCHF,GBPCHF,CADCHF,,,,,
AUDJPY,NZDJPY,CHFJPY,,,,,,,
