Date,PC1,PC2,Equal_weighted_PC
2002-01-04,-2.157864219826129,-1.0433842534350009,-1.6006242366305647
2002-01-11,-2.0551857444939916,-1.0740043637799639,-1.5645950541369777
2002-01-18,-2.116527828620534,-1.017472956296418,-1.567000392458476
2002-01-25,-1.9570604920594679,-0.9507302990444869,-1.4538953955519773
2002-02-01,-2.1716348637564686,-1.0316564734824265,-1.6016456686194476
2002-02-08,-1.92764169639518,-0.957720459689957,-1.4426810780425685
2002-02-15,-2.0975535578505577,-1.0715708724437867,-1.584562215147172
2002-02-22,-1.9806447454156961,-1.0605130806939838,-1.52057891305484
2002-03-01,-2.0237201661836024,-1.0253822122845277,-1.524551189234065
2002-03-08,-2.5338198863294745,-0.9973380896979391,-1.765578988013707
2002-03-15,-2.3387154160774624,-0.9620476422385705,-1.6503815291580164
2002-03-22,-1.8312991357298605,-1.0026470633670037,-1.4169730995484322
2002-03-29,-1.874622551889102,-1.0235570506841027,-1.4490898012866023
2002-04-05,-2.007232793167158,-1.0321308931555653,-1.5196818431613615
2002-04-12,-1.902442721390043,-1.0604923498917456,-1.4814675356408942
2002-04-19,-1.948637310365574,-1.0733619914774968,-1.5109996509215353
2002-04-26,-2.1725184142478926,-1.0991336637978562,-1.6358260390228745
2002-05-03,-2.2475773810687563,-1.0672887860052003,-1.6574330835369784
2002-05-10,-2.1006995103589423,-1.059576361621834,-1.5801379359903882
2002-05-17,-2.1475586728639793,-1.0029594483374156,-1.5752590606006973
2002-05-24,-2.2317763465872735,-1.0166469648096859,-1.6242116556984798
2002-05-31,-2.1457726175731877,-0.9439442500985195,-1.5448584338358535
2002-06-07,-2.001573145575136,-0.9393739739272144,-1.4704735597511753
2002-06-14,-2.1474580788811055,-1.0145675777143308,-1.5810128282977183
2002-06-21,-2.21476210956221,-1.0266134145048924,-1.6206877620335511
2002-06-28,-2.4485639548140514,-1.1356106373358306,-1.792087296074941
2002-07-05,-2.4710007448431894,-1.1467591526576082,-1.8088799487503988
2002-07-12,-2.8952984311605885,-1.2349651385120515,-2.06513178483632
2002-07-19,-2.9488789551804926,-1.2407584029254637,-2.0948186790529784
2002-07-26,-2.991620569346281,-1.2434727991251526,-2.117546684235717
2002-08-02,-2.955465026158568,-1.2678289739515152,-2.111647000055042
2002-08-09,-2.8992430760122923,-1.1245766139211228,-2.0119098449667074
2002-08-16,-3.0485447587891854,-1.161079049820685,-2.104811904304935
2002-08-23,-2.85083685771425,-1.1221580806468263,-1.9864974691805382
2002-08-30,-2.910382643391741,-1.242124790779638,-2.0762537170856894
2002-09-06,-2.8924865869757985,-1.2761172674731052,-2.084301927224452
2002-09-13,-2.5287162322601096,-1.2671398142986299,-1.8979280232793698
2002-09-20,-2.269312344686423,-1.243789234311793,-1.7565507894991081
2002-09-27,-2.4223323542721786,-1.2768972276575468,-1.8496147909648628
2002-10-04,-2.28265579250664,-1.2863661075105783,-1.7845109500086092
2002-10-11,-2.093016105620667,-1.2389833938382244,-1.6659997497294456
2002-10-18,-1.941149745493184,-1.2422178557567065,-1.5916838006249452
2002-10-25,-2.0054568486037176,-1.25023784329809,-1.627847345950904
2002-11-01,-2.134280520483924,-1.229257276377106,-1.6817688984305148
2002-11-08,-2.3420581920680097,-1.3021318393486394,-1.8220950157083244
2002-11-15,-2.2959067360906733,-1.2453503066515597,-1.7706285213711164
2002-11-22,-1.9906426228104588,-1.307749690686509,-1.6491961567484839
2002-11-29,-2.074326609920081,-1.2128126289854888,-1.643569619452785
2002-12-06,-1.8268066002021583,-1.2408242579388156,-1.5338154290704868
2002-12-13,-2.098514692803218,-1.2562035607723439,-1.677359126787781
2002-12-20,-2.048599762427213,-1.2893463035683146,-1.668973032997764
2002-12-27,-2.067775692183463,-1.19345141370444,-1.6306135529439516
2003-01-03,-2.0091634200061206,-1.2398335718938582,-1.6244984959499895
2003-01-10,-1.8266153949723085,-1.1915879329578676,-1.509101663965088
2003-01-17,-1.86284757531682,-1.187490172929222,-1.525168874123021
2003-01-24,-1.7638254992294031,-1.2403632502568167,-1.50209437474311
2003-01-31,-1.530282371511574,-1.3405089541208568,-1.4353956628162154
2003-02-07,-1.4059665917200619,-1.2338782425148251,-1.3199224171174435
2003-02-14,-1.4016249569613892,-1.1653749217943827,-1.283499939377886
2003-02-21,-1.5682541660753608,-1.0062167479122144,-1.2872354569937876
2003-02-28,-1.5118126718460294,-0.975642036732437,-1.2437273542892333
2003-03-07,-1.5017096259822218,-1.0681115332093487,-1.2849105795957851
2003-03-14,-1.5912345470956804,-1.063757618830964,-1.3274960829633222
2003-03-21,-1.327936700325671,-1.0348731715279889,-1.18140493592683
2003-03-28,-1.3430054886477805,-1.0103053082240685,-1.1766553984359245
2003-04-04,-1.4120017277982777,-0.9885781378003505,-1.2002899327993142
2003-04-11,-1.2234606856186518,-1.070057931185485,-1.1467593084020684
2003-04-18,-1.1633433947854965,-1.0203118796542692,-1.091827637219883
2003-04-25,-1.0199435609269885,-1.0709174903320173,-1.045430525629503
2003-05-02,-0.9033873773619931,-1.0919022106440845,-0.9976447940030388
2003-05-09,-0.8399048516727361,-1.0191523388238786,-0.9295285952483073
2003-05-16,-0.8497252381826663,-1.0967800061278101,-0.9732526221552382
2003-05-23,-0.59088000629235,-1.0845574721919888,-0.8377187392421694
2003-05-30,-0.2837147286681269,-1.1238976006015637,-0.7038061646348454
2003-06-06,-0.37365586447547583,-1.3225017977549556,-0.8480788311152156
2003-06-13,-0.35321848897631986,-1.3266185038788103,-0.8399184964275651
2003-06-20,-0.39179356222727263,-1.3673469621784962,-0.8795702622028844
2003-06-27,-0.23320442320696264,-1.3774829726787157,-0.8053436979428391
2003-07-04,-0.31160824065346027,-1.4597915372155887,-0.8856998889345244
2003-07-11,-0.6626689023166816,-1.3103401124403493,-0.9865045073785155
2003-07-18,-0.833514137564532,-1.0661644892924347,-0.9498393134284833
2003-07-25,-0.4506146614006201,-1.1591663346798302,-0.8048904980402252
2003-08-01,-0.4613195545714615,-1.1764129259244351,-0.8188662402479483
2003-08-08,-0.5933107068994489,-1.1296990165392855,-0.8615048617193672
2003-08-15,-0.5130330211128791,-1.1274786071748568,-0.820255814143868
